Timestamp,Version,Seed,Profit (%),Model Path,Total Features,BATCH_SIZE,COST_RATE,DRAWDOWN_PENALTY_RATE,ENT_COEF,FEATURES_DIM,LEARNING_RATE,LIQUIDITY_BONUS_RATE,NET_ARCH,N_STEPS,PENALTY_OVER_DIVERSIFICATION,REWARD_ALPHA_MULT,REWARD_CASH_CRASH_MULT,REWARD_LOSS_MULT,REWARD_WIN_MULT,SAVE_MODEL_PATH,SDE_SAMPLE_FREQ,TURNOVER_PENALTY_RATE,T_PLUS_SETTLEMENT,USE_SDE
2026-07-14 22:04:29,v7_3,7890,30.63,v7_3_2/AI_Brain_v7_Seed7890_Profit_30.63.zip,44,90,0.0001,5.0,0.005,256,5e-05,0.02,"[64, 64]",1024,0.01,50,100,200,100,v7_3/AI_Brain_v7_3.zip,5,0.3,3,False
2026-07-14 22:04:39,v7_3,3766,28.26,v7_3/AI_Brain_v7_Seed3766_Profit_28.26.zip,44,90,0.0001,5.0,0.005,256,5e-05,0.02,"[64, 64]",1024,0.01,50,100,200,100,v7_3/AI_Brain_v7_3.zip,5,0.3,3,False
