ticker,Weight
DPM,0.05004938796620106
VIC,0.05001626136564754
HCM,0.04739942177801376
DGW,0.04654897707735143
PHR,0.04164300880273426
DCM,0.04070723193324641
VCB,0.03771940348720191
VNM,0.037335493348772605
EIB,0.03640386147093466
DXG,0.03519477628617631
HAG,0.03475561511047503
SJS,0.032014060460505374
GMD,0.030270660824283663
BMP,0.030207840526488963
PVD,0.029490041412530147
MBB,0.028590560122052203
PVT,0.02772967704629875
TCH,0.02697504672050163
SSI,0.026028247276463388
STB,0.025410293787590323
HDC,0.02387080236699727
KDC,0.022456190129558105
HPG,0.019884549705171152
BID,0.01920637995680983
FPT,0.018573537524946896
GAS,0.018535647576295715
PNJ,0.017614409175897267
REE,0.01497677368800691
CII,0.013841701774824057
CTG,0.01319841569550925
NLG,0.011589171876349114
KDH,0.010822199544598284
BVH,0.010535994548824876
